epoch,loss,acc
1,2.2003694108424297,0.4061679985687023
2,1.3884556994183372,0.5822250715648855
3,1.2079720870229125,0.6211347507156488
4,1.1127152479331912,0.6488102337786259
5,1.0468616676694564,0.6699442390267175
6,0.9948007478058793,0.6850064110209924
7,0.9542686948339447,0.6964977934160306
8,0.9215489503081519,0.7065466960877863
9,0.8938653523685368,0.7143331047232825
10,0.8693554178449033,0.721277135019084
11,0.8480756965302328,0.7283702588263359
12,0.8269496874044869,0.7340432669370229
13,0.8110961136017137,0.7384266161736641
14,0.7949805787501444,0.7439579854484732
15,0.7782754402124245,0.7490346195133588
16,0.7623895984569579,0.7542864384541985
17,0.7505135263195475,0.7582411438454199
18,0.7380706085503557,0.762020664360687
19,0.7239529649719937,0.7659865517652672
20,0.7116898443862683,0.7695722507156488
21,0.6997646985163215,0.7728597626431297
22,0.6894139802182904,0.7770977457061069
23,0.6764337315814186,0.7812388179866412
24,0.6667722800305782,0.7839858659351145
25,0.6566901129620676,0.7868521886927481
26,0.6468275544297604,0.7902962488072519
27,0.6396467813098704,0.7927898377862596
28,0.6299721207327516,0.7950933325381679
29,0.6223565185343036,0.7979671099713741
30,0.614510113956364,0.8005054270038168
31,0.60715619798835,0.8030027433206107
32,0.597824674981241,0.8051012344942748
33,0.5917666945748656,0.807058086832061
34,0.5834203831112111,0.8101704138835878
35,0.5750776515662215,0.8123546338263359
36,0.5709472578445464,0.8136890207538168
37,0.562122866170097,0.8162310651240458
38,0.5578139444798914,0.8181767354484732
39,0.5499064510560218,0.820297590648855
40,0.545312937434393,0.8218593451812977
41,0.5407493947116473,0.8229067270992366
42,0.5331338073006113,0.8260041447996184
43,0.5272566498690889,0.8274466245229007
44,0.5231579517135183,0.8290754711354962
45,0.515121859903554,0.8312261450381679
46,0.509715829869263,0.8335930045324428
47,0.5094704097918882,0.8336675512881679
48,0.5024821796945034,0.8356020395992366
49,0.5025152839322127,0.8349534828244275
50,0.4947952073038989,0.8374545264790076
51,0.4907410622553061,0.8380471731870229
52,0.4877526013905765,0.8400599355916031
53,0.4828780131940623,0.8413570491412213
54,0.4816512015029674,0.842355975667939
55,0.4748929258976274,0.8432542640744275
56,0.47219900570752965,0.8447191078244275
57,0.4703865770165247,0.8450359315362596
58,0.4671412690450217,0.8469331464694656
59,0.46278350134842267,0.8473804270038168
60,0.4619614700324663,0.8478500715648855
61,0.4591716910136565,0.8486700858778626
62,0.45569900451725676,0.8500342915076335
63,0.4542110316625988,0.8499560174141222
64,0.4515822934740372,0.8516519561068703
65,0.45127072793836814,0.8507573950381679
66,0.4455705446596364,0.8533255307729007
67,0.44382786022797793,0.8537690839694656
68,0.4427088628743441,0.8537057192270993
69,0.44199413038392105,0.853918177480916
70,0.43588522918351735,0.8562142175572519
71,0.4354939599528567,0.8559607585877863
72,0.4369833246442198,0.8558936665076335
73,0.43058599019778593,0.8571087786259542
74,0.42842854320547963,0.8588233540076335
75,0.4260387102156195,0.858800989980916
76,0.4258295902769074,0.8585698950381679
77,0.4233172524521369,0.8598185531965649
78,0.42188772672915276,0.8598371898854962
79,0.4193712757288955,0.8614399451335878
80,0.4183060376698734,0.8619207717080153
81,0.41463675503512376,0.8619468630725191
82,0.41421106753458503,0.8628675155057252
83,0.41268568116289966,0.8624090529580153
84,0.41107051131379513,0.8629495169370229
85,0.40985571860357095,0.8630837010973282
86,0.4089381360370694,0.8638105319656488
87,0.40844085607819886,0.8646230916030534
88,0.4070598059938154,0.8647647304389313
89,0.4047216572834335,0.8654431059160306
90,0.40294412369946486,0.8660171159351145
91,0.401995548082672,0.8662780295801527
92,0.4018056827192088,0.866125208730916
93,0.3986831785158347,0.8671092259064885
94,0.4024810094869774,0.8659910245706107
95,0.4003011923254901,0.8670384064885496
96,0.39421395263599074,0.8685703423187023
97,0.3922799275121616,0.8694760854007634
98,0.39090798624599254,0.8696512702767175
99,0.38859354221183834,0.8714292104007634
100,0.39218353929410454,0.8692748091603053
